| Name                      | Version        | License                              | URL                                                                  |
|---------------------------|----------------|--------------------------------------|----------------------------------------------------------------------|
| Jinja2                    | 3.1.6          | BSD License                          | https://github.com/pallets/jinja/                                    |
| MarkupSafe                | 3.0.2          | BSD License                          | https://github.com/pallets/markupsafe/                               |
| PyYAML                    | 6.0.2          | MIT License                          | https://pyyaml.org/                                                  |
| Pygments                  | 2.19.1         | BSD License                          | https://pygments.org                                                 |
| Send2Trash                | 1.8.3          | BSD License                          | https://github.com/arsenetar/send2trash                              |
| anyio                     | 4.9.0          | MIT License                          | https://anyio.readthedocs.io/en/stable/versionhistory.html           |
| argon2-cffi               | 23.1.0         | MIT License                          | https://github.com/hynek/argon2-cffi/blob/main/CHANGELOG.md          |
| argon2-cffi-bindings      | 21.2.0         | MIT License                          | https://github.com/hynek/argon2-cffi-bindings                        |
| arrow                     | 1.3.0          | Apache Software License              | https://github.com/arrow-py/arrow                                    |
| asttokens                 | 3.0.0          | Apache 2.0                           | https://github.com/gristlabs/asttokens                               |
| async-lru                 | 2.0.5          | MIT License                          | https://github.com/aio-libs/async-lru                                |
| attrs                     | 25.3.0         | UNKNOWN                              | https://www.attrs.org/en/stable/changelog.html                       |
| babel                     | 2.17.0         | BSD License                          | https://babel.pocoo.org/                                             |
| beautifulsoup4            | 4.13.3         | MIT License                          | https://www.crummy.com/software/BeautifulSoup/bs4/                   |
| bleach                    | 6.2.0          | Apache Software License              | https://github.com/mozilla/bleach                                    |
| certifi                   | 2025.1.31      | Mozilla Public License 2.0 (MPL 2.0) | https://github.com/certifi/python-certifi                            |
| cffi                      | 1.17.1         | MIT License                          | http://cffi.readthedocs.org                                          |
| charset-normalizer        | 3.4.1          | MIT License                          | https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md |
| comm                      | 0.2.2          | BSD License                          | https://github.com/ipython/comm                                      |
| contourpy                 | 1.3.1          | BSD License                          | https://github.com/contourpy/contourpy                               |
| cycler                    | 0.12.1         | BSD License                          | https://matplotlib.org/cycler/                                       |
| debugpy                   | 1.8.13         | MIT License                          | https://aka.ms/debugpy                                               |
| decorator                 | 5.2.1          | BSD License                          | UNKNOWN                                                              |
| defusedxml                | 0.7.1          | Python Software Foundation License   | https://github.com/tiran/defusedxml                                  |
| exceptiongroup            | 1.2.2          | MIT License                          | https://github.com/agronholm/exceptiongroup/blob/main/CHANGES.rst    |
| executing                 | 2.2.0          | MIT License                          | https://github.com/alexmojaki/executing                              |
| fastjsonschema            | 2.21.1         | BSD License                          | https://github.com/horejsek/python-fastjsonschema                    |
| fonttools                 | 4.57.0         | MIT License                          | http://github.com/fonttools/fonttools                                |
| fqdn                      | 1.5.1          | Mozilla Public License 2.0 (MPL 2.0) | https://github.com/ypcrts/fqdn                                       |
| h11                       | 0.14.0         | MIT License                          | https://github.com/python-hyper/h11                                  |
| httpcore                  | 1.0.7          | BSD License                          | https://www.encode.io/httpcore/                                      |
| httpx                     | 0.28.1         | BSD License                          | https://github.com/encode/httpx                                      |
| idna                      | 3.10           | BSD License                          | https://github.com/kjd/idna                                          |
| ipykernel                 | 6.29.5         | BSD License                          | https://ipython.org                                                  |
| ipython                   | 8.34.0         | BSD License                          | https://ipython.org                                                  |
| isoduration               | 20.11.0        | ISC License (ISCL)                   | https://github.com/bolsote/isoduration                               |
| jedi                      | 0.19.2         | MIT License                          | https://github.com/davidhalter/jedi                                  |
| json5                     | 0.10.0         | Apache Software License              | https://github.com/dpranke/pyjson5                                   |
| jsonpointer               | 3.0.0          | BSD License                          | https://github.com/stefankoegl/python-json-pointer                   |
| jsonschema                | 4.23.0         | MIT License                          | https://github.com/python-jsonschema/jsonschema                      |
| jsonschema-specifications | 2024.10.1      | MIT License                          | https://github.com/python-jsonschema/jsonschema-specifications       |
| jupyter-events            | 0.12.0         | BSD License                          | http://jupyter.org                                                   |
| jupyter-lsp               | 2.2.5          | BSD License                          | https://github.com/jupyter-lsp/jupyterlab-lsp/issues                 |
| jupyter_client            | 8.6.3          | BSD License                          | https://jupyter.org                                                  |
| jupyter_core              | 5.7.2          | BSD License                          | https://jupyter.org                                                  |
| jupyter_server            | 2.15.0         | BSD License                          | https://jupyter-server.readthedocs.io                                |
| jupyter_server_terminals  | 0.5.3          | BSD License                          | https://jupyter.org                                                  |
| jupyterlab                | 4.3.6          | BSD License                          | https://jupyter.org                                                  |
| jupyterlab_pygments       | 0.3.0          | BSD License                          | https://github.com/jupyterlab/jupyterlab_pygments                    |
| jupyterlab_server         | 2.27.3         | BSD License                          | https://jupyterlab-server.readthedocs.io                             |
| kiwisolver                | 1.4.8          | BSD License                          | https://github.com/nucleic/kiwi                                      |
| matplotlib                | 3.10.1         | Python Software Foundation License   | https://matplotlib.org                                               |
| matplotlib-inline         | 0.1.7          | BSD License                          | https://github.com/ipython/matplotlib-inline                         |
| mistune                   | 3.1.3          | BSD License                          | https://github.com/lepture/mistune                                   |
| mplcursors                | 0.6            | zlib/libpng License                  | https://github.com/anntzer/mplcursors                                |
| narwhals                  | 1.33.0         | MIT License                          | https://github.com/narwhals-dev/narwhals                             |
| nbclient                  | 0.10.2         | BSD License                          | https://jupyter.org                                                  |
| nbconvert                 | 7.16.6         | BSD License                          | https://jupyter.org                                                  |
| nbformat                  | 5.10.4         | BSD License                          | https://jupyter.org                                                  |
| nest-asyncio              | 1.6.0          | BSD License                          | https://github.com/erdewit/nest_asyncio                              |
| notebook                  | 7.3.3          | BSD License                          | https://github.com/jupyter/notebook                                  |
| notebook_shim             | 0.2.4          | BSD License                          | UNKNOWN                                                              |
| numpy                     | 2.2.4          | BSD License                          | https://numpy.org                                                    |
| overrides                 | 7.7.0          | Apache License, Version 2.0          | https://github.com/mkorpela/overrides                                |
| packaging                 | 24.2           | Apache Software License; BSD License | https://github.com/pypa/packaging                                    |
| pandas                    | 2.2.3          | BSD License                          | https://pandas.pydata.org                                            |
| pandocfilters             | 1.5.1          | BSD License                          | http://github.com/jgm/pandocfilters                                  |
| parso                     | 0.8.4          | MIT License                          | https://github.com/davidhalter/parso                                 |
| pexpect                   | 4.9.0          | ISC License (ISCL)                   | https://pexpect.readthedocs.io/                                      |
| pi                        | 0.1.2          | MIT License                          | https://github.com/chbrown/pi                                        |
| pillow                    | 11.1.0         | CMU License (MIT-CMU)                | https://python-pillow.github.io                                      |
| pip                       | 25.0.1         | MIT License                          | https://pip.pypa.io/                                                 |
| pip-licenses              | 5.0.0          | MIT License                          | https://github.com/raimon49/pip-licenses                             |
| platformdirs              | 4.3.7          | MIT License                          | https://github.com/tox-dev/platformdirs                              |
| plotly                    | 6.0.1          | MIT License                          | https://plotly.com/python/                                           |
| prettytable               | 3.16.0         | UNKNOWN                              | https://github.com/prettytable/prettytable                           |
| prometheus_client         | 0.21.1         | Apache Software License              | https://github.com/prometheus/client_python                          |
| prompt_toolkit            | 3.0.50         | BSD License                          | https://github.com/prompt-toolkit/python-prompt-toolkit              |
| psutil                    | 7.0.0          | BSD License                          | https://github.com/giampaolo/psutil                                  |
| ptyprocess                | 0.7.0          | ISC License (ISCL)                   | https://github.com/pexpect/ptyprocess                                |
| pure_eval                 | 0.2.3          | MIT License                          | http://github.com/alexmojaki/pure_eval                               |
| pycparser                 | 2.22           | BSD License                          | https://github.com/eliben/pycparser                                  |
| pyparsing                 | 3.2.3          | MIT License                          | https://github.com/pyparsing/pyparsing/                              |
| python-dateutil           | 2.9.0.post0    | Apache Software License; BSD License | https://github.com/dateutil/dateutil                                 |
| python-json-logger        | 3.3.0          | BSD License                          | https://nhairs.github.io/python-json-logger                          |
| pytz                      | 2025.2         | MIT License                          | http://pythonhosted.org/pytz                                         |
| pyzmq                     | 26.3.0         | BSD License                          | https://pyzmq.readthedocs.org                                        |
| referencing               | 0.36.2         | UNKNOWN                              | https://github.com/python-jsonschema/referencing                     |
| requests                  | 2.32.3         | Apache Software License              | https://requests.readthedocs.io                                      |
| rfc3339-validator         | 0.1.4          | MIT License                          | https://github.com/naimetti/rfc3339-validator                        |
| rfc3986-validator         | 0.1.1          | MIT License                          | https://github.com/naimetti/rfc3986-validator                        |
| rpds-py                   | 0.24.0         | MIT                                  | https://github.com/crate-py/rpds                                     |
| setuptools                | 65.5.0         | MIT License                          | https://github.com/pypa/setuptools                                   |
| six                       | 1.17.0         | MIT License                          | https://github.com/benjaminp/six                                     |
| sniffio                   | 1.3.1          | Apache Software License; MIT License | https://github.com/python-trio/sniffio                               |
| soupsieve                 | 2.6            | MIT License                          | https://github.com/facelessuser/soupsieve                            |
| stack-data                | 0.6.3          | MIT License                          | http://github.com/alexmojaki/stack_data                              |
| terminado                 | 0.18.1         | BSD License                          | https://github.com/jupyter/terminado                                 |
| tinycss2                  | 1.4.0          | BSD License                          | https://www.courtbouillon.org/tinycss2                               |
| tomli                     | 2.2.1          | MIT License                          | https://github.com/hukkin/tomli                                      |
| tornado                   | 6.4.2          | Apache Software License              | http://www.tornadoweb.org/                                           |
| traitlets                 | 5.14.3         | BSD License                          | https://github.com/ipython/traitlets                                 |
| types-python-dateutil     | 2.9.0.20241206 | Apache Software License              | https://github.com/python/typeshed                                   |
| typing_extensions         | 4.13.1         | UNKNOWN                              | https://github.com/python/typing_extensions                          |
| tzdata                    | 2025.2         | Apache Software License              | https://github.com/python/tzdata                                     |
| uri-template              | 1.3.0          | MIT License                          | https://gitlab.linss.com/open-source/python/uri-template             |
| urllib3                   | 2.3.0          | MIT License                          | https://github.com/urllib3/urllib3/blob/main/CHANGES.rst             |
| wcwidth                   | 0.2.13         | MIT License                          | https://github.com/jquast/wcwidth                                    |
| webcolors                 | 24.11.1        | BSD License                          | UNKNOWN                                                              |
| webencodings              | 0.5.1          | BSD License                          | https://github.com/SimonSapin/python-webencodings                    |
| websocket-client          | 1.8.0          | Apache Software License              | https://github.com/websocket-client/websocket-client.git             |
